lng,num_ratings,tid,name,rating,features,elevGain,lat,elevMax,kml,length
-122.1655,0,may-creek-trail,"May Creek Trail",0.0,rfkd,,47.5226,,,3.5
-118.2644,0,bennington-lake,"Bennington Lake",0.0,lmvakd,0,46.0660,,,4.8
-121.8107,5,indian-henrys-via-longmire,"Indian Henry's Hunting Ground via Longmire",4.0,rlmvae,3200,46.7497,5600,,14.0
-117.1415,0,canfield-gulch-of-antoine-peak,"Antoine Peak Conservation Area - Canfield Gulch",0.0,vsd,1030,47.7295,3366,,5.3
-121.0123,1,jim-hill,"Big Jim Hill",5.0,,,47.7720,6765,,
-122.4231,5,mount-blanchard,"Mount Blanchard",2.2,,,48.6113,,,
-121.2878,1,red-mountain-lookout-1,"Red Mountain Lookout",3.0,ovsad,700,48.0584,2800,,2.0
-121.6423,8,sourdough-ridge,"Sourdough Ridge",3.8,vap,400,46.9146,6800,,2.5
-121.0889,5,skyline-lake-snowshoe,"Skyline Lake Snowshoe",3.8,lvpkd!,1100,47.7479,5100,,3.0
-121.6423,12,skyscraper-pass,"Skyscraper Mountain",3.8,lmvsap,1300,46.9146,7000,,8.0
-121.8154,5,snagtooth-mountain,"Snagtooth Mountain",3.0,vk,700,46.2480,4900,,3.5
-121.5579,19,snoquera-falls,"Snoquera Falls Loop",3.3,w,700,47.0328,3100,,4.2
-121.3084,4,sloan-peak,"Sloan Peak",3.0,rwfvd,2900,48.0863,4800,,9.0
-120.9701,4,soda-springs,"Soda Springs Big Trees",2.2,roaek,50,47.8581,2250,,0.5
-121.4230,113,snow-lake-1,"Snow Lake",4.1,lwovpekd,1800,47.4454,4400,,7.2
-121.9923,4,soaring-eagle-park,"Soaring Eagle Regional Park",2.8,akd,0,47.6164,500,,12.0
-121.9286,0,snoqualmie-valley-trail,"Snoqualmie Valley Trail",0.0,rofmvakd!,,47.6845,,,32.0
-121.5596,9,skookum-flats,"Skookum Flats",3.3,rwomvakd,300,47.0394,2550,,7.8
